Id;Ekspor;Cadangan Devisa;IHSG;Selisih Pinjaman dan Simpanan;Suku Bunga Simpanan Riil;Selisih BI Rate Riil dan FED Rate Riil;Simpanan bank ;Nilai Tukar Riil;Nilai Tukar Perdagangan;M1;M2/Cadangan Devisa;M2M;Krisis
311;10480.6;102133.89;4615.16;1.58;7.39;6.54;260.0003658;17307.92;1.0013;75.56;0.0032;5.08;0
312;11312;104543.72;4770.96;1.56;8.06;6.8;272.8940071;16715.5;1.1117;77.31;0.0032;5.14;0
313;11810.02;107542.58;4845.37;1.58;7.56;6.62;278.3511756;16528.02;1.045;80.2;0.0032;5.28;0
314;11475.86;107711;4838.58;1.67;7.72;7.3;282.7520027;16286.78;1.0612;82.49;0.0032;5.17;0
315;11514.28;103591.27;4796.87;1.66;6.97;6.54;276.9034754;16765.44;1.0335;82.17;0.0033;5.13;0
316;12974.4;109788.72;5016.65;1.69;6.34;5.8;289.8983008;16282.77;1.0727;89.86;0.0033;4.78;0
317;9514.3;111408.72;5215.99;1.69;6.29;5.28;293.1175774;16314.85;1.0671;87.41;0.0032;5.08;0
318;12748.3;113538.18;5386.08;1.69;6.96;4.99;290.1708659;16553.67;1.0293;85.38;0.0031;5.14;0
319;12514.1;115671.34;5364.8;1.7;6.62;4.65;295.1861468;16175.11;1.1077;86.63;0.0032;5.09;0
320;12679;115037.05;5422.54;1.72;6.61;4.36;297.072367;16244.12;1.1052;87.56;0.0032;5.14;0
322;13772.4;116361.53;5296.71;1.7;6.27;3.74;300.9572534;16893.21;1.0776;92.11;0.0032;5.06;0
323;13401.7;116890.08;5294.1;1.68;5.78;3.74;299.8244239;16840.96;1.1198;89.3;0.0032;5.19;0
325;14678.8;121805.63;5568.11;1.67;6.71;3.98;306.2154203;16783.5;1.105;91.27;0.0031;5.2;0
327;14345.4;124953.29;5738.16;1.68;6.23;3.58;312.2897302;16799.13;1.042;95.78;0.0031;5.11;0
328;11655.9;123093.71;5829.71;1.68;5.93;3.03;315.5400576;16897.32;1.1665;100.75;0.0032;4.6;0
330;15229.4;128787.06;5864.06;1.69;6.61;3.75;317.3629496;16923.76;1.1273;95.48;0.003;5.19;0
331;14559.8;129402.4;5900.85;1.7;6.33;3.53;317.8996679;17034.67;1.1392;96.68;0.003;5.23;0
332;15242.2;126547.13;6005.78;1.73;6.31;3.06;318.1303504;17147.83;1.0703;97.68;0.0031;5.21;0
333;15320.2;125967.23;5952.14;1.76;5.97;2.93;322.3756507;17108.26;1.0143;99.02;0.0031;5.16;0
334;14791.2;130196.38;6355.65;1.75;5.4;2.11;327.3678349;17283.83;0.9821;102.66;0.0031;4.99;0
336;14096.8;128058.65;6597.22;1.79;5.8;3.16;321.7694535;17450.58;0.9918;98.58;0.003;5.24;0
338;14537.19;124862;5994.6;1.81;5.73;2.93;320.1929364;17609.1;0.8995;98.91;0.0031;5.21;0
339;16209.32;122913.91;5983.59;1.82;5.58;3.34;318.160381;17666.88;0.9177;100.68;0.0032;4.9;0
340;12941.7;119839.03;5799.24;1.8;5.24;2.95;311.5442039;18318.33;1.1485;100.83;0.0032;4.94;0
341;16284.7;118312.24;5936.44;1.76;5.71;3.11;310.100533;18379.23;0.89;95.99;0.0032;5.51;0
344;15909.1;115163.06;5831.65;1.63;6.14;3.53;300.9197231;19358.39;0.9005;92.64;0.0032;5.71;0
346;14290.1;120654.27;6194.5;1.51;6.22;2.69;324.0308942;18695.37;0.93;100.62;0.0033;5.39;0
347;13927.9;120075.16;6532.97;1.52;6.58;3.49;328.4143573;18191.69;0.9291;97.89;0.0033;5.61;0
348;12555.9;123273.87;6443.35;1.53;6.99;4.13;330.3191227;18087.59;1.027;98.64;0.0033;5.77;0
349;14121.9;124539.31;6468.76;1.53;6.74;4.08;328.4796649;18239.04;1.0499;100.14;0.0032;5.78;0
350;13112.7;124293.82;6455.35;1.54;6.39;3.72;330.0698286;18186;0.8515;102.12;0.0033;5.66;0
351;14825.2;120347.15;6209.12;1.54;6.11;3.16;330.6123374;18489.54;1.015;104.84;0.0034;5.11;0
